Latitude,longitude
51.554644613351286,81.02164385210241
51.5599033082077,81.10078984992077
51.58771718320664,81.53524341510106
51.592507177578085,81.61299363025476
51.616815520716735,82.02281063028725
51.62124183429472,82.10042983410395
51.64354058011613,82.50769131277302
51.64750139963961,82.58314653839301
51.66807806415623,82.99284448796855
51.67183771827364,83.07126204688505
51.69071042547375,83.48468283888457
51.69410276388517,83.56292105778225
51.71095834254351,83.9731730287277
51.71392613959848,84.0496175147481
51.72893236648167,84.46005240115649
51.73159778979396,84.53776980785779
51.74510991154673,84.96032480461598
51.74807122904021,85.06052014377119
51.75953939793712,85.48314260970132
51.761413861724655,85.55862940771019
51.77108221275632,85.98840227019808
51.772573936277865,86.06236246464826
51.78015055885536,86.4863383347952
51.78132613749124,86.56186472965918
51.786995604383534,86.99001511617392
51.78782641693212,87.06612238217018
51.7915073559775,87.49463323509039
51.79188567003058,87.55430461948107
51.79362630460093,87.97716452777067
51.79374104343753,88.03794408557737
51.79360249874988,88.45839168488045
51.79345069631589,88.51811063352324
51.79144456852913,88.93961644528503
51.79102900981058,88.99918271889445
51.78715997291548,89.42012858738676
51.78648797292065,89.47905724346093
51.78078531672814,89.89812183205662
51.77989470714709,89.95448515746496
51.77232813255689,90.3748193428894
51.771109767877206,90.43507433760796
51.76167096859941,90.85566880733457
51.76022430927466,90.9143410745327
