Speed Picture,Speed Picture Cleaned,Speed Coordinated,Speed Average,Loop Time
0.0,0.0,0.0,0.0,5.13187
8.978830893931518,8.978830893931518,5.39746128108881,7.188146087510164,4.867465
0.0,0.0,0.0,0.0,4.835466
0.0,0.0,0.0,0.0,4.833669
9.657020322016042,9.657020322016042,5.4238328824744135,7.540426602245228,4.897075
10.246192516421518,10.246192516421518,5.404848561112078,7.825520538766797,4.850809
11.270640596827462,11.270640596827462,5.276992582224396,8.273816589525929,4.838458
17.222994180701157,17.222994180701157,5.360956574343245,11.2919753775222,4.967428
17.605793416458777,17.605793416458777,6.905838754575187,12.255816085516985,5.191122
18.15344781470597,18.15344781470597,5.200473806987766,11.676960810846868,4.98945
20.2934174662536,20.2934174662536,5.092533540755755,12.692975503504677,4.936696
18.28345720786927,18.28345720786927,5.197506458734857,11.740481833302065,4.991425
17.33557634926372,17.33557634926372,5.234073002602689,11.284824675933203,4.998511
0.0,0.0,0.0,0.0,4.777497
15.18589669822521,15.18589669822521,4.179924594117081,9.682910646171145,4.765072
19.71710234076355,19.71710234076355,4.107368976446262,11.912235658604908,4.755809
18.2671213828432,18.2671213828432,4.09824537020984,11.18268337652652,4.755335
0.0,0.0,0.0,0.0,4.732752
0.0,0.0,0.0,0.0,4.721128
20.50144341831716,20.50144341831716,4.149765043210662,12.325604230763911,4.764429
12.487137018351225,12.487137018351225,4.0408403302220375,8.263988674286631,4.677479
